encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
x265,1080p,CrowdRun_1080p50,22,faster,1.979877,205273.61,40.9595,41.4711,41.9049,41.050562,1382.4415294,39.836538,34.702853
x265,1080p,CrowdRun_1080p50,22,medium,1.978916,205174.0,40.9773,41.4722,41.9073,41.066356,1470.50558925,39.909797,36.845729
x265,1080p,CrowdRun_1080p50,22,superfast,1.977516,205028.81,40.9369,41.4493,41.8782,41.027756,1301.50368725,40.240445,32.343174
x265,1080p,CrowdRun_1080p50,22,ultrafast,2.090494,216742.41,40.4667,41.1383,41.5722,40.577769,359.1766932,39.633029,9.06256
x265,1080p,CrowdRun_1080p50,22,veryfast,1.979877,205273.61,40.9595,41.4711,41.9049,41.050562,1380.1741524,40.084626,34.431508
x265,1080p,CrowdRun_1080p50,27,fast,1.163515,120633.2,37.1966,38.4796,39.0712,37.39395,1167.3905906,40.690656,28.689402
x265,1080p,CrowdRun_1080p50,27,faster,1.163503,120632.01,37.1966,38.4796,39.0712,37.39395,1164.1648965,40.72792,28.583952
x265,1080p,CrowdRun_1080p50,27,medium,1.163013,120581.2,37.2076,38.4801,39.0716,37.403631,1248.20272175,40.730766,30.645206
x265,1080p,CrowdRun_1080p50,27,superfast,1.160478,120318.41,37.1387,38.4207,39.0143,37.33605,1102.61569275,40.948092,26.927157
x265,1080p,CrowdRun_1080p50,27,ultrafast,1.242897,128863.61,36.6933,38.1306,38.7658,36.912662,296.4150616,40.512592,7.316615
x265,1080p,CrowdRun_1080p50,27,veryfast,1.163503,120632.01,37.1966,38.4796,39.0712,37.39395,1178.59667366667,40.866997,28.839816
x265,1080p,CrowdRun_1080p50,32,fast,0.671609,69632.41,33.7653,36.3446,37.0213,34.130006,974.544673,41.569965,23.443481
x265,1080p,CrowdRun_1080p50,32,faster,0.671597,69631.2,33.7653,36.3446,37.0213,34.130006,973.04485725,41.585514,23.398649
x265,1080p,CrowdRun_1080p50,32,medium,0.671659,69637.6,33.7758,36.3438,37.0171,34.138881,1037.399444,40.557502,25.578485
x265,1080p,CrowdRun_1080p50,32,superfast,0.671752,69647.2,33.6972,36.3057,36.9772,34.065231,926.953602571428,41.672608,22.243715
x265,1080p,CrowdRun_1080p50,32,ultrafast,0.716134,74248.8,33.1897,36.1568,36.8711,33.605231,247.4863414,41.57923,5.952163
x265,1080p,CrowdRun_1080p50,32,veryfast,0.671597,69631.2,33.7653,36.3446,37.0213,34.130006,973.430162,41.647483,23.373085
x265,1080p,CrowdRun_1080p50,37,fast,0.378314,39223.6,30.5946,34.8506,35.5105,31.167844,828.678372,42.458491,19.517377
x265,1080p,CrowdRun_1080p50,37,faster,0.378302,39222.4,30.5946,34.8506,35.5105,31.167844,826.9526686,42.40547,19.501085
x265,1080p,CrowdRun_1080p50,37,medium,0.377967,39187.6,30.6036,34.8451,35.5015,31.174813,876.236893,42.369812,20.680689
x265,1080p,CrowdRun_1080p50,37,superfast,0.378264,39218.4,30.5383,34.836,35.4819,31.115881,788.8844796,42.478597,18.57134
x265,1080p,CrowdRun_1080p50,37,ultrafast,0.39679,41139.2,30.0321,34.8479,35.5399,30.677325,212.040727166667,42.333755,5.008786
x265,1080p,CrowdRun_1080p50,37,veryfast,0.378302,39222.4,30.5946,34.8506,35.5105,31.167844,829.5086678,42.42494,19.552383
x265,1080p,DinnerSceneCropped_2k,22,fast,0.770904,47908.47,40.9861,43.0299,47.0327,41.49175,1223.080243,40.6718,30.071948
x265,1080p,DinnerSceneCropped_2k,22,faster,0.770893,47907.77,40.9861,43.0299,47.0327,41.49175,1220.4697455,40.814259,29.903024
x265,1080p,DinnerSceneCropped_2k,22,medium,0.769198,47802.44,40.9903,43.026,47.0308,41.495062,1315.1543935,40.263148,32.663973
x265,1080p,DinnerSceneCropped_2k,22,superfast,0.768567,47763.23,40.9274,43.0356,47.0337,41.440806,1144.89839075,41.222692,27.773499
x265,1080p,DinnerSceneCropped_2k,22,ultrafast,0.745575,46334.35,40.7079,42.9829,47.0302,41.245231,297.6013136,41.110797,7.239006
x265,1080p,DinnerSceneCropped_2k,22,veryfast,0.770893,47907.77,40.9861,43.0299,47.0327,41.49175,1216.68255425,40.412209,30.106807
x265,1080p,DinnerSceneCropped_2k,27,fast,0.192963,11991.85,38.1137,41.031,45.6934,38.769762,912.2689416,42.430252,21.500436
x265,1080p,DinnerSceneCropped_2k,27,faster,0.192952,11991.15,38.1137,41.031,45.6934,38.769762,910.24960775,42.324212,21.506593
x265,1080p,DinnerSceneCropped_2k,27,medium,0.192474,11961.46,38.1169,41.0445,45.7138,38.774681,981.46161425,42.227846,23.242048
x265,1080p,DinnerSceneCropped_2k,27,superfast,0.192579,11967.95,38.0999,41.0376,45.7031,38.758706,861.4300765,42.676461,20.185134
x265,1080p,DinnerSceneCropped_2k,27,ultrafast,0.192489,11962.38,38.0775,41.0455,45.7415,38.742,225.5967585,42.408576,5.319602
x265,1080p,DinnerSceneCropped_2k,27,veryfast,0.192952,11991.15,38.1137,41.031,45.6934,38.769762,911.3537765,42.412197,21.488012
x265,1080p,DinnerSceneCropped_2k,32,fast,0.042872,2664.29,37.2446,40.1125,45.0374,37.910894,663.1479116,43.621795,15.202215
x265,1080p,DinnerSceneCropped_2k,32,faster,0.04286,2663.59,37.2446,40.1125,45.0374,37.910894,665.0174382,43.710623,15.214092
x265,1080p,DinnerSceneCropped_2k,32,medium,0.042961,2669.86,37.2458,40.1125,45.0273,37.911312,708.3579766,43.483063,16.290434
x265,1080p,DinnerSceneCropped_2k,32,superfast,0.043413,2697.93,37.2392,40.1108,45.0337,37.905831,628.56339325,43.596391,14.417785
x265,1080p,DinnerSceneCropped_2k,32,ultrafast,0.043712,2716.49,37.2119,40.0948,45.0249,37.880394,167.8182106,43.537311,3.854584
x265,1080p,DinnerSceneCropped_2k,32,veryfast,0.04286,2663.59,37.2446,40.1125,45.0374,37.910894,663.5286114,43.604078,15.217123
x265,1080p,DinnerSceneCropped_2k,37,fast,0.026098,1621.91,36.8245,39.7323,44.4618,37.483569,538.9415768,44.370869,12.146293
x265,1080p,DinnerSceneCropped_2k,37,faster,0.026087,1621.22,36.8245,39.7323,44.4618,37.483569,538.6756352,44.429212,12.124357
x265,1080p,DinnerSceneCropped_2k,37,medium,0.026042,1618.43,36.8278,39.7306,44.4354,37.4847,562.5461796,44.376236,12.676744
