value,unit,event,time,percent,metric,metric_desc,vendor,config,config_id,preset,qp,sequence,src_res,fps,bit,chroma,enc_res,target_fps,frames,test_type
,,llc-loads,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
,,llc-load-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
,,llc-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
,,llc-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
129923242149.0,,branch-instructions,73989621914.0,45.51,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
5048702946.0,,branch-misses,73971015784.0,45.5,3.89,of all branches,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
628988111.0,,dtlb-loads,73945472042.0,45.5,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
22985594.0,,dtlb-load-misses,73915805638.0,45.48,3.65,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
1052405527329.0,,instructions,62324848754.0,45.47,2.42,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
434692667615.0,,cycles,62291674991.0,45.44,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
20346388727.0,,cache-references,62282538164.0,45.43,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
1160502123.0,,cache-misses,62301517983.0,45.44,5.704,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
381234946520.0,,l1-dcache-loads,62330158491.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
5369230872.0,,l1-dcache-load-misses,62361913988.0,45.49,1.41,of all L1-dcache accesses,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
,,l1-dcache-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
572112907.0,,l1-icache-load-misses,62394780400.0,45.53,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
,,llc-loads,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
,,llc-load-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
,,llc-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
,,llc-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
104624040884.0,,branch-instructions,62411893911.0,45.53,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
3323542587.0,,branch-misses,62390992411.0,45.52,3.18,of all branches,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
670496140.0,,dtlb-loads,62374289278.0,45.51,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
16945614.0,,dtlb-load-misses,62348057644.0,45.49,2.53,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,MeridianTalk_sdr,1920x1080,5994,8,,1920x1080,60,130,extended
1206079050450.0,,instructions,77785166797.0,45.46,2.22,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,Motorcycle,1920x1080,30,8,,1920x1080,30,130,extended
