video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
TimeLapse_4k,27,ultrafast,147836.06,41.5425,45.6444,47.2812
TimeLapse_4k,32,ultrafast,81594.17,38.8999,43.7221,45.4789
TimeLapse_4k,37,ultrafast,44072.05,36.3030,42.2687,44.0161
TimeLapse_4k,22,superfast,258977.45,44.3549,47.9430,49.1747
TimeLapse_4k,27,superfast,141716.59,41.7486,45.4815,47.0332
TimeLapse_4k,32,superfast,78607.35,39.1145,43.4609,45.1139
TimeLapse_4k,37,superfast,43067.17,36.4864,41.9736,43.6710
TimeLapse_4k,22,veryfast,258823.58,44.3855,47.9760,49.2342
TimeLapse_4k,27,veryfast,141686.86,41.7916,45.5064,47.0631
TimeLapse_4k,32,veryfast,78553.55,39.1579,43.4752,45.1316
TimeLapse_4k,37,veryfast,42750.46,36.5056,41.9883,43.6858
TimeLapse_4k,22,faster,258823.58,44.3855,47.9760,49.2342
TimeLapse_4k,27,faster,141686.86,41.7916,45.5064,47.0631
TimeLapse_4k,32,faster,78553.55,39.1579,43.4752,45.1316
TimeLapse_4k,37,faster,42750.46,36.5056,41.9883,43.6858
TimeLapse_4k,22,fast,258824.98,44.3855,47.9760,49.2342
TimeLapse_4k,27,fast,141688.27,41.7916,45.5064,47.0631
TimeLapse_4k,32,fast,78554.96,39.1579,43.4752,45.1316
TimeLapse_4k,37,fast,42751.88,36.5056,41.9883,43.6858
TimeLapse_4k,22,medium,258556.91,44.3916,47.9727,49.2309
TimeLapse_4k,27,medium,141563.66,41.7963,45.5018,47.0548
TimeLapse_4k,32,medium,78316.13,39.1610,43.4704,45.1190
TimeLapse_4k,37,medium,42737.71,36.5069,42.0001,43.6856
TimeLapse_4k,22,slow,224910.38,44.0781,47.5391,48.9121
TimeLapse_4k,27,slow,125266.45,41.5007,44.9527,46.6506
TimeLapse_4k,32,slow,68904.92,38.7940,42.8168,44.6465
TimeLapse_4k,37,slow,36436.99,36.0567,41.3417,43.2820
TimeLapse_4k,22,slower,224574.31,44.0875,47.5404,48.9129
TimeLapse_4k,27,slower,125126.73,41.5065,44.9629,46.6693
TimeLapse_4k,32,slower,68801.08,38.8048,42.8505,44.6626
TimeLapse_4k,37,slower,36461.53,36.0710,41.3899,43.3097
TimeLapse_4k,22,veryslow,224575.72,44.0875,47.5404,48.9129
TimeLapse_4k,27,veryslow,125128.16,41.5065,44.9629,46.6693
TimeLapse_4k,32,veryslow,68802.50,38.8048,42.8505,44.6626
TimeLapse_4k,37,veryslow,36462.95,36.0710,41.3899,43.3097
TimeLapse_4k,22,placebo,224516.25,44.0878,47.5453,48.9208
TimeLapse_4k,27,placebo,125106.43,41.5075,44.9640,46.6654
TimeLapse_4k,32,placebo,68850.17,38.8027,42.8552,44.6696
TimeLapse_4k,37,placebo,36502.12,36.0664,41.3963,43.3074
Boat_2k,22,ultrafast,195756.81,41.7738,42.9299,43.7931
Boat_2k,27,ultrafast,122790.81,37.9878,40.1069,41.2800
Boat_2k,32,ultrafast,73431.88,34.3344,38.2662,39.5826
Boat_2k,37,ultrafast,42022.16,31.0401,37.0396,38.3296
Boat_2k,22,superfast,189705.31,42.2202,43.1292,44.0039
Boat_2k,27,superfast,118941.18,38.3399,40.2074,41.3941
Boat_2k,32,superfast,71352.25,34.6628,38.2512,39.5712
Boat_2k,37,superfast,41125.84,31.3303,36.9286,38.2168
Boat_2k,22,veryfast,189912.52,42.2805,43.2186,44.1424
