encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv
x265,4K,PierSeaSide_4k,32,slow,0.055410,13774.070000,41.875200,43.508800,42.311500,42.004569
x265,4K,PierSeaSide_4k,37,slow,0.033548,8339.470000,39.375300,41.907200,41.098300,39.641231
x265,4K,PierSeaSide_4k,22,slower,0.169392,42108.000000,45.689600,47.459900,45.490600,45.787806
x265,4K,PierSeaSide_4k,27,slower,0.094631,23523.640000,43.997800,45.475200,43.783800,44.076763
x265,4K,PierSeaSide_4k,32,slower,0.055558,13810.730000,41.888800,43.513100,42.316000,42.017019
x265,4K,PierSeaSide_4k,37,slower,0.033565,8343.650000,39.394700,41.928000,41.106000,39.659987
x265,4K,PierSeaSide_4k,22,veryslow,0.169395,42108.700000,45.689600,47.459900,45.490600,45.787806
x265,4K,PierSeaSide_4k,27,veryslow,0.094634,23524.340000,43.997800,45.475200,43.783800,44.076763
x265,4K,PierSeaSide_4k,32,veryslow,0.055561,13811.420000,41.888800,43.513100,42.316000,42.017019
x265,4K,PierSeaSide_4k,37,veryslow,0.033568,8344.340000,39.394700,41.928000,41.106000,39.659987
x265,4K,PierSeaSide_4k,22,placebo,0.169803,42210.080000,45.688300,47.463100,45.493100,45.787025
x265,4K,PierSeaSide_4k,27,placebo,0.094600,23515.990000,43.997600,45.478500,43.783300,44.076763
x265,4K,PierSeaSide_4k,32,placebo,0.055657,13835.320000,41.886300,43.526000,42.320100,42.015894
x265,4K,PierSeaSide_4k,37,placebo,0.033728,8384.250000,39.389200,41.927000,41.114000,39.655613
x265,4K,Tango_4k,22,ultrafast,0.393674,195721.420000,41.885300,48.907100,47.658800,42.685006
x265,4K,Tango_4k,27,ultrafast,0.127154,63216.850000,40.288100,47.729300,46.027800,41.111906
x265,4K,Tango_4k,32,ultrafast,0.064647,32140.370000,39.344200,46.396900,44.455500,40.104450
x265,4K,Tango_4k,37,ultrafast,0.038897,19338.310000,38.158100,45.151700,43.114900,38.905000
x265,4K,Tango_4k,22,superfast,0.385884,191848.660000,41.937900,48.811100,47.551400,42.718319
x265,4K,Tango_4k,27,superfast,0.125394,62341.760000,40.322800,47.687200,46.000200,41.137912
x265,4K,Tango_4k,32,superfast,0.063718,31678.280000,39.389900,46.366200,44.437500,40.141394
x265,4K,Tango_4k,37,superfast,0.038522,19151.870000,38.210000,45.135200,43.115500,38.949419
x265,4K,Tango_4k,22,veryfast,0.386387,192098.810000,41.951400,48.869500,47.611300,42.737525
x265,4K,Tango_4k,27,veryfast,0.125642,62464.950000,40.341300,47.691800,46.013600,41.155225
x265,4K,Tango_4k,32,veryfast,0.063442,31541.400000,39.405400,46.362300,44.437100,40.154688
x265,4K,Tango_4k,37,veryfast,0.038210,18996.580000,38.219500,45.110500,43.105200,38.955544
x265,4K,Tango_4k,22,faster,0.386387,192098.810000,41.951400,48.869500,47.611300,42.737525
x265,4K,Tango_4k,27,faster,0.125642,62464.950000,40.341300,47.691800,46.013600,41.155225
