encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
NVIDIA,1080p,MeridianTalk_sdr_2k,22,fast,0.330943,41133.43,43.067711,28.078201,26.880162,41.119145,5.097,3.39,1.501
NVIDIA,1080p,MeridianTalk_sdr_2k,27,fast,0.13247,16464.96,41.576948,28.111895,26.898291,39.817966,5.0636,3.38,1.5
NVIDIA,1080p,MeridianTalk_sdr_2k,32,fast,0.068469,8510.15,40.152275,28.148339,26.936328,38.576032,5.1082,3.41,1.5
NVIDIA,1080p,MeridianTalk_sdr_2k,37,fast,0.037762,4693.48,38.49302,28.133255,26.961478,37.124813,5.1006,3.4,1.5
NVIDIA,1080p,MeridianTalk_sdr_2k,22,medium,0.326993,40642.56,43.077912,28.080149,26.875945,41.127929,6.3589,4.24,1.501
NVIDIA,1080p,MeridianTalk_sdr_2k,27,medium,0.130993,16281.3,41.53406,28.112189,26.89053,39.779972,6.3616,4.24,1.5
NVIDIA,1080p,MeridianTalk_sdr_2k,32,medium,0.068077,8461.39,40.010273,28.143579,26.93406,38.451341,6.3565,4.24,1.5
NVIDIA,1080p,MeridianTalk_sdr_2k,37,medium,0.037711,4687.22,38.270187,28.124593,26.964341,36.929472,6.3462,4.23,1.499
NVIDIA,1080p,MeridianTalk_sdr_2k,22,slow,0.326993,40642.56,43.077912,28.080149,26.875945,41.127929,6.3813,4.25,1.5
NVIDIA,1080p,MeridianTalk_sdr_2k,27,slow,0.130993,16281.3,41.53406,28.112189,26.89053,39.779972,6.3492,4.23,1.5
NVIDIA,1080p,MeridianTalk_sdr_2k,32,slow,0.068077,8461.39,40.010273,28.143579,26.93406,38.451341,6.3348,4.22,1.5
NVIDIA,1080p,MeridianTalk_sdr_2k,37,slow,0.037711,4687.22,38.270187,28.124593,26.964341,36.929472,6.3354,4.22,1.5
NVIDIA,1080p,RushFieldCuts_2k,22,ultrafast,1.223609,76042.14,43.548812,26.800866,28.908123,41.587022,5.0287,3.35,1.5
NVIDIA,1080p,RushFieldCuts_2k,27,ultrafast,0.782937,48656.22,39.461746,26.867447,28.938842,38.016921,4.9589,3.55,1.4
NVIDIA,1080p,RushFieldCuts_2k,32,ultrafast,0.445136,27663.33,35.621106,26.958911,29.005179,34.666223,4.6592,3.73,1.25
NVIDIA,1080p,RushFieldCuts_2k,37,ultrafast,0.258097,16039.62,32.533966,27.043596,29.05844,31.973598,4.6269,3.7,1.249
NVIDIA,1080p,RushFieldCuts_2k,22,fast,1.212746,75367.07,43.806373,26.800168,28.908613,41.812375,5.5029,3.14,1.751
NVIDIA,1080p,RushFieldCuts_2k,27,fast,0.781402,48560.82,39.65128,26.863967,28.936273,38.182385,5.3571,3.26,1.649
NVIDIA,1080p,RushFieldCuts_2k,32,fast,0.442786,27517.29,35.736226,26.951808,29.003079,34.766378,5.0063,3.34,1.501
NVIDIA,1080p,RushFieldCuts_2k,37,fast,0.256412,15934.95,32.651933,27.034325,29.057485,32.07618,5.0723,3.38,1.501
