video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
NocturneDance_4k,22,placebo,188654.41,47.4445,44.3363,47.7428
NocturneDance_4k,27,placebo,102766.09,44.4330,41.3299,45.5271
NocturneDance_4k,32,placebo,54747.36,41.3699,39.1824,43.9545
NocturneDance_4k,37,placebo,27876.00,38.3588,37.7809,42.9843
PierSeaSide_4k,22,ultrafast,50993.60,44.7597,46.8244,44.8020
PierSeaSide_4k,27,ultrafast,27766.46,42.6287,44.8348,42.8863
PierSeaSide_4k,32,ultrafast,16182.70,40.2724,43.1137,41.5952
PierSeaSide_4k,37,ultrafast,9877.17,37.8172,41.7167,40.5950
PierSeaSide_4k,22,superfast,49152.22,44.9273,46.8380,44.8748
PierSeaSide_4k,27,superfast,26586.97,42.8146,44.7724,42.8886
PierSeaSide_4k,32,superfast,15705.71,40.4948,42.9637,41.5120
PierSeaSide_4k,37,superfast,9656.54,38.0078,41.5335,40.4510
PierSeaSide_4k,22,veryfast,49042.25,44.9572,46.8691,44.8907
PierSeaSide_4k,27,veryfast,26502.99,42.8653,44.8026,42.9085
PierSeaSide_4k,32,veryfast,15579.03,40.5432,42.9734,41.5203
PierSeaSide_4k,37,veryfast,9566.06,38.0337,41.5423,40.4585
PierSeaSide_4k,22,faster,49042.25,44.9572,46.8691,44.8907
PierSeaSide_4k,27,faster,26502.99,42.8653,44.8026,42.9085
PierSeaSide_4k,32,faster,15579.03,40.5432,42.9734,41.5203
PierSeaSide_4k,37,faster,9566.06,38.0337,41.5423,40.4585
PierSeaSide_4k,22,fast,49042.95,44.9572,46.8691,44.8907
PierSeaSide_4k,27,fast,26503.68,42.8653,44.8026,42.9085
PierSeaSide_4k,32,fast,15579.73,40.5432,42.9734,41.5203
PierSeaSide_4k,37,fast,9566.75,38.0337,41.5423,40.4585
PierSeaSide_4k,22,medium,48925.32,44.9605,46.8707,44.8922
PierSeaSide_4k,27,medium,26476.77,42.8684,44.7988,42.9067
PierSeaSide_4k,32,medium,15573.93,40.5465,42.9686,41.5167
PierSeaSide_4k,37,medium,9519.89,38.0333,41.5348,40.4545
PierSeaSide_4k,22,slow,42221.68,44.7271,46.5669,44.4413
PierSeaSide_4k,27,slow,23554.96,42.6040,44.4018,42.5049
PierSeaSide_4k,32,slow,13774.30,40.2086,42.4549,41.0912
PierSeaSide_4k,37,slow,8339.70,37.6119,40.9212,39.9625
PierSeaSide_4k,22,slower,42108.23,44.7324,46.5701,44.4418
PierSeaSide_4k,27,slower,23523.87,42.6134,44.4048,42.5083
PierSeaSide_4k,32,slower,13810.96,40.2204,42.4638,41.0996
PierSeaSide_4k,37,slower,8343.88,37.6305,40.9438,39.9788
PierSeaSide_4k,22,veryslow,42108.93,44.7324,46.5701,44.4418
PierSeaSide_4k,27,veryslow,23524.57,42.6134,44.4048,42.5083
PierSeaSide_4k,32,veryslow,13811.66,40.2204,42.4638,41.0996
PierSeaSide_4k,37,veryslow,8344.58,37.6305,40.9438,39.9788
PierSeaSide_4k,22,placebo,42210.31,44.7337,46.5735,44.4479
PierSeaSide_4k,27,placebo,23516.22,42.6145,44.4068,42.5107
PierSeaSide_4k,32,placebo,13835.55,40.2181,42.4684,41.0989
PierSeaSide_4k,37,placebo,8384.48,37.6243,40.9419,39.9779
Tango_4k,22,ultrafast,195721.89,41.7265,48.8126,47.4697
Tango_4k,27,ultrafast,63217.32,40.1523,47.6524,45.8259
Tango_4k,32,ultrafast,32140.84,39.2452,46.3498,44.2521
Tango_4k,37,ultrafast,19338.78,38.0820,45.1246,42.9039
Tango_4k,22,superfast,191849.12,41.7754,48.7165,47.3626
Tango_4k,27,superfast,62342.23,40.1856,47.6126,45.8023
Tango_4k,32,superfast,31678.75,39.2883,46.3308,44.2423
Tango_4k,37,superfast,19152.35,38.1311,45.1256,42.9060
Tango_4k,22,veryfast,192099.30,41.7873,48.7741,47.4254
Tango_4k,27,veryfast,62465.43,40.2031,47.6166,45.8151
Tango_4k,32,veryfast,31541.87,39.3016,46.3240,44.2445
Tango_4k,37,veryfast,18997.06,38.1368,45.1104,42.8964
Tango_4k,22,faster,192099.30,41.7873,48.7741,47.4254
Tango_4k,27,faster,62465.43,40.2031,47.6166,45.8151
Tango_4k,32,faster,31541.87,39.3016,46.3240,44.2445
Tango_4k,37,faster,18997.06,38.1368,45.1104,42.8964
Tango_4k,22,fast,192100.70,41.7873,48.7741,47.4254
Tango_4k,27,fast,62466.84,40.2031,47.6166,45.8151
Tango_4k,32,fast,31543.29,39.3016,46.3240,44.2445
Tango_4k,37,fast,18998.47,38.1368,45.1104,42.8964
Tango_4k,22,medium,191965.25,41.7886,48.7691,47.4192
Tango_4k,27,medium,62175.14,40.2056,47.6266,45.8257
Tango_4k,32,medium,31479.10,39.3059,46.3274,44.2496
Tango_4k,37,medium,18946.55,38.1420,45.1105,42.9019
Tango_4k,22,slow,126786.77,41.2308,48.6808,47.1919
Tango_4k,27,slow,49124.34,40.0422,47.4847,45.5116
Tango_4k,32,slow,27894.26,39.1725,46.0688,43.7968
Tango_4k,37,slow,16880.14,37.9327,44.8091,42.3770
Tango_4k,22,slower,127322.48,41.2406,48.6876,47.2015
Tango_4k,27,slower,49120.57,40.0485,47.4847,45.5185
Tango_4k,32,slower,27947.12,39.1834,46.0720,43.8062
Tango_4k,37,slower,16861.26,37.9506,44.8143,42.3939
Tango_4k,22,veryslow,127323.89,41.2406,48.6876,47.2015
Tango_4k,27,veryslow,49121.99,40.0485,47.4847,45.5185
Tango_4k,32,veryslow,27948.54,39.1834,46.0720,43.8062
Tango_4k,37,veryslow,16862.67,37.9506,44.8143,42.3939
Tango_4k,22,placebo,127472.57,41.2394,48.6880,47.2004
Tango_4k,27,placebo,49239.52,40.0477,47.4877,45.5205
Tango_4k,32,placebo,27880.57,39.1816,46.0732,43.8095
Tango_4k,37,placebo,16848.51,37.9484,44.8139,42.3935
TimeLapse_4k,22,ultrafast,267827.91,44.0109,48.0151,49.0511
TimeLapse_4k,27,ultrafast,147836.55,41.4817,45.7218,47.1703
TimeLapse_4k,32,ultrafast,81594.65,38.8586,43.8140,45.4362
TimeLapse_4k,37,ultrafast,44072.53,36.2725,42.3668,44.0071
TimeLapse_4k,22,superfast,258977.91,44.2625,47.9955,48.9961
TimeLapse_4k,27,superfast,141717.06,41.6895,45.5577,46.9339
TimeLapse_4k,32,superfast,78607.83,39.0752,43.5537,45.0875
TimeLapse_4k,37,superfast,43067.64,36.4563,42.0697,43.6888
TimeLapse_4k,22,veryfast,258824.05,44.2923,48.0271,49.0459
TimeLapse_4k,27,veryfast,141687.33,41.7321,45.5801,46.9596
TimeLapse_4k,32,veryfast,78554.02,39.1180,43.5684,45.1036
TimeLapse_4k,37,veryfast,42750.93,36.4769,42.0873,43.7023
TimeLapse_4k,22,faster,258824.05,44.2923,48.0271,49.0459
TimeLapse_4k,27,faster,141687.33,41.7321,45.5801,46.9596
TimeLapse_4k,32,faster,78554.02,39.1180,43.5684,45.1036
TimeLapse_4k,37,faster,42750.93,36.4769,42.0873,43.7023
TimeLapse_4k,22,fast,258825.45,44.2923,48.0271,49.0459
TimeLapse_4k,27,fast,141688.75,41.7321,45.5801,46.9596
TimeLapse_4k,32,fast,78555.44,39.1180,43.5684,45.1036
TimeLapse_4k,37,fast,42752.34,36.4769,42.0873,43.7023
