encoder,resolution,VideoName,QP,Preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,Validated_Mean_Energy_J,Std_Dev_J,Avg_Time_per_Measurement_s,Measurements_Count_Used
x265,720p,ControlledBurn_720p,32,ultrafast,0.577439,15965.04,34.2373,43.4613,43.0144,35.362369,89.3040318888889,0.70873165985926,2.13047298577778,9
x265,720p,ControlledBurn_720p,32,veryfast,0.554019,15317.52,34.7794,42.8727,42.5061,35.76815,343.64015675,0.350765741180991,8.22946139175,4
x265,720p,ControlledBurn_720p,37,fast,0.314271,8688.96,31.3133,41.1086,40.9044,32.52495,302.754181,0.699615868888778,7.1729132516,5
x265,720p,ControlledBurn_720p,37,faster,0.314245,8688.24,31.3133,41.1086,40.9044,32.52495,302.7347356,0.68347903737591,7.1868168018,5
x265,720p,ControlledBurn_720p,37,medium,0.314384,8692.08,31.3154,41.0941,40.8987,32.525525,318.9847424,0.806938381953852,7.55879676,5
x265,720p,ControlledBurn_720p,37,superfast,0.313932,8679.6,31.2508,41.0627,40.8745,32.465525,289.5945348,0.656943902498303,6.737326136,5
x265,720p,ControlledBurn_720p,37,ultrafast,0.322083,8904.96,30.8432,41.7788,41.4749,32.191156,80.9532026666667,0.489230991831739,1.90277433033333,6
x265,720p,ControlledBurn_720p,37,veryfast,0.314245,8688.24,31.3133,41.1086,40.9044,32.52495,302.99841575,0.801310892756519,7.1893338585,4
x265,4K,Crosswalk_4k,22,fast,0.21632,107547.09,43.4495,48.4148,50.8094,44.219825,3647.1026992,14.2636994508561,85.5496559146,5
x265,4K,Crosswalk_4k,22,faster,0.216317,107545.68,43.4495,48.4148,50.8094,44.219825,3661.53131928571,23.3599414433278,85.9346287912857,7
x265,4K,Crosswalk_4k,22,medium,0.216112,107443.73,43.452,48.4266,50.8297,44.224019,3919.23258157143,14.3462233547696,91.9306933441428,7
x265,4K,Crosswalk_4k,22,superfast,0.216365,107569.75,43.4358,48.3989,50.7822,44.205144,3453.75551914286,21.0760052601718,80.3870371242857,7
x265,4K,Crosswalk_4k,22,ultrafast,0.215328,107053.85,43.4057,48.4176,50.8251,44.182656,907.491643142857,1.85767971794462,21.0276129415714,7
x265,4K,Crosswalk_4k,22,veryfast,0.216317,107545.68,43.4495,48.4148,50.8094,44.219825,3654.7880926,15.189745164565,85.65328004,5
x265,4K,Crosswalk_4k,27,fast,0.076211,37889.8,42.4767,47.3588,49.7932,43.239112,2793.91936133333,1.98111730731028,64.0864016126667,3
x265,4K,Crosswalk_4k,27,faster,0.076209,37888.39,42.4767,47.3588,49.7932,43.239112,2796.55883525,6.30097652758046,64.1653457155,8
x265,4K,Crosswalk_4k,27,medium,0.075699,37634.92,42.4814,47.3586,49.7828,43.242562,2992.0753966,16.3623875542942,68.5492422765,10
x265,4K,Crosswalk_4k,27,superfast,0.076366,37966.74,42.4575,47.3663,49.7974,43.223044,2675.28835766667,13.4322200530477,60.9551084448333,6
x265,4K,Crosswalk_4k,27,ultrafast,0.076637,38101.26,42.4384,47.3549,49.7769,43.204338,698.141139571429,3.51965542041868,15.8878970915714,7
x265,4K,Crosswalk_4k,27,veryfast,0.076209,37888.39,42.4767,47.3588,49.7932,43.239112,2805.18298714286,7.54913191748467,64.3591297327143,7
x265,4K,Crosswalk_4k,32,fast,0.041528,20646.22,41.6451,46.238,48.4231,42.355781,2378.9751232,10.6754539459425,53.8866709168,5
x265,4K,Crosswalk_4k,32,faster,0.041525,20644.81,41.6451,46.238,48.4231,42.355781,2383.9153145,5.75500639790356,53.86569446875,8
x265,4K,Crosswalk_4k,32,medium,0.04123,20498.02,41.655,46.2422,48.4197,42.364494,2498.3165784,7.56796515480015,56.839275149,5
x265,4K,Crosswalk_4k,32,superfast,0.04178,20771.78,41.6314,46.2419,48.4187,42.343762,2308.791444,9.77105390380267,52.2148018978572,7
x265,4K,Crosswalk_4k,32,ultrafast,0.041902,20832.19,41.6119,46.2256,48.4043,42.324781,616.9415848,1.84908283641842,13.9558663354,5
x265,4K,Crosswalk_4k,32,veryfast,0.041525,20644.81,41.6451,46.238,48.4231,42.355781,2384.0598268,7.50202804212232,53.9166110788,5
x265,4K,Crosswalk_4k,37,fast,0.025252,12554.26,40.4614,45.223,47.1739,41.178531,2162.0790228,3.24160612108384,48.5922270758,5
x265,4K,Crosswalk_4k,37,faster,0.025249,12552.84,40.4614,45.223,47.1739,41.178531,2159.92330375,3.29093916723331,48.6289767295,4
x265,4K,Crosswalk_4k,37,medium,0.025058,12457.97,40.4755,45.2244,47.1637,41.190319,2255.5039,0.897641797093176,50.62950391825,4
x265,4K,Crosswalk_4k,37,superfast,0.025571,12712.85,40.4601,45.2165,47.1706,41.176781,2112.972638,1.19639702000172,47.480107778,3
x265,4K,Crosswalk_4k,37,ultrafast,0.025672,12763.35,40.4393,45.1828,47.1116,41.152788,581.890830333333,4.96210873544076,13.100718004,9
x265,4K,Crosswalk_4k,37,veryfast,0.025249,12552.84,40.4614,45.223,47.1739,41.178531,2158.67422233333,1.52211052000712,48.4817793983333,3
x265,1080p,CrowdRun_1080p50,22,fast,1.979888,205274.81,40.9595,41.4711,41.9049,41.050562,1387.581641,3.10630504551332,34.4011914456,5
x265,1080p,CrowdRun_1080p50,22,faster,1.979877,205273.61,40.9595,41.4711,41.9049,41.050562,1386.70873016667,5.08222814659482,34.3948165258333,6
x265,1080p,CrowdRun_1080p50,22,medium,1.978916,205174,40.9773,41.4722,41.9073,41.066356,1475.626553,0.436902679965459,36.903134516,3
x265,1080p,CrowdRun_1080p50,22,superfast,1.977516,205028.81,40.9369,41.4493,41.8782,41.027756,1304.112238,0.858969416064391,32.3191838594,5
x265,1080p,CrowdRun_1080p50,22,ultrafast,2.090494,216742.41,40.4667,41.1383,41.5722,40.577769,361.4743755,1.02759563767403,9.063979192,6
x265,1080p,CrowdRun_1080p50,22,veryfast,1.979877,205273.61,40.9595,41.4711,41.9049,41.050562,1386.52983655556,4.45838205315028,34.3683194976667,9
x265,1080p,CrowdRun_1080p50,27,fast,1.163515,120633.2,37.1966,38.4796,39.0712,37.39395,1175.16067914286,3.31888958725,28.5884739305714,7
x265,1080p,CrowdRun_1080p50,27,faster,1.163503,120632.01,37.1966,38.4796,39.0712,37.39395,1173.8477028,4.97603939783365,28.6610526818,5
x265,1080p,CrowdRun_1080p50,27,medium,1.163013,120581.2,37.2076,38.4801,39.0716,37.403631,1251.9312678,1.62783331304289,30.6168797832,5
x265,1080p,CrowdRun_1080p50,27,superfast,1.160478,120318.41,37.1387,38.4207,39.0143,37.33605,1106.00718642857,6.82303354673782,26.8880136765714,7
x265,1080p,CrowdRun_1080p50,27,ultrafast,1.242897,128863.61,36.6933,38.1306,38.7658,36.912662,299.4127464,1.19038848972732,7.3691481772,5
x265,1080p,CrowdRun_1080p50,27,veryfast,1.163503,120632.01,37.1966,38.4796,39.0712,37.39395,1169.2497538,2.4205310398035,28.544281382,5
x265,1080p,CrowdRun_1080p50,32,fast,0.671609,69632.41,33.7653,36.3446,37.0213,34.130006,977.4602765,4.48578059639331,23.4565565585,6
x265,1080p,CrowdRun_1080p50,32,faster,0.671597,69631.2,33.7653,36.3446,37.0213,34.130006,979.747431,2.68559484987944,23.4126892628,5
